"Story","Title","Result","Date","Stability","Duration (s)"
"Cleaning session API - Positive Scenarios","Positive - Send valid information to API","ERROR","2023-06-01T15:07:04.6289944-07:00[America/Tijuana]","0.0","0.14"
"Cleaning session API - Positive Scenarios","Positive - When not dirty patches are set then the response should be ""patches"" equal to 0","ERROR","2023-06-01T15:07:04.8230282-07:00[America/Tijuana]","0.0","0.14"
"Cleaning session API - Positive Scenarios","Positive - When send empty initial position the default should be (0, 0)","ERROR","2023-06-01T15:07:04.9692248-07:00[America/Tijuana]","0.0","0.1"
"Cleaning session API - Positive Scenarios","Positive - When send no instructions the hover should still in the initial position","ERROR","2023-06-01T15:07:05.1097678-07:00[America/Tijuana]","0.0","0.16"
"Cleaning session API - Positive Scenarios","Positive - When send initial coordinates (null, null) default should be (0, 0)","ERROR","2023-06-01T15:07:05.3750839-07:00[America/Tijuana]","0.0","0.15"
"Cleaning session API - Positive Scenarios","Positive - When dimension is 1 hover should stay in the same position no matter the instructions","ERROR","2023-06-01T15:07:05.5553379-07:00[America/Tijuana]","0.0","0.15"
"Cleaning session API - Positive Scenarios","Positive - When dimension is 1 hover should stay in the same position no matter the instructions","ERROR","2023-06-01T15:07:05.5553379-07:00[America/Tijuana]","0.0","0.15"
"Cleaning session API - Positive Scenarios","Positive - When dimension is 1 hover should stay in the same position no matter the instructions","ERROR","2023-06-01T15:07:05.5553379-07:00[America/Tijuana]","0.0","0.15"
"Cleaning session API - Positive Scenarios","Positive - When dimension is 1 hover should stay in the same position no matter the instructions","ERROR","2023-06-01T15:07:05.5553379-07:00[America/Tijuana]","0.0","0.15"
"Cleaning session API - Positive Scenarios","Positive - When dimension is 1 hover should stay in the same position no matter the instructions","ERROR","2023-06-01T15:07:05.5553379-07:00[America/Tijuana]","0.0","0.15"
"Cleaning session API - Positive Scenarios","When we send no patches API should return 200 error code","ERROR","2023-06-01T15:07:06.3985773-07:00[America/Tijuana]","0.0","0.15"
"Cleaning session API - Positive Scenarios","When we send no initial position API should return 200 code","ERROR","2023-06-01T15:07:06.5612757-07:00[America/Tijuana]","0.0","0.11"
"Cleaning session API - Positive Scenarios","Example of Pending Test Case","PENDING","2023-06-01T15:07:06.6930487-07:00[America/Tijuana]","0.0","0.01"
"Cleaning session API - Positive Scenarios","This is a broken test case","ERROR","2023-06-01T15:07:06.7101125-07:00[America/Tijuana]","0.0","0.02"
